# lat,lon,name, marker, color(htmlcolor)
14.62,-90.53,Guatemala,^,#FFFF00,
19.02,-97.27,Sierra Negra (Mx),^,#FFFF00,
-34.62,-58.44,Buenos Aires(Ar),^,#FFFF00,
-64.23,-56.63,Base Marambio,o,#FF0000,
-7.22,-35.87,Campina Grande (Br),^,#FFFF00,
10.66,-66.95,Caracas (Ve),o,#FF0000,
8.39,-71.15,Merida (Ve),^,#FFFF00,
